respuesta_id,fecha_respuesta,cliente_id,producto,segmento_cliente,nps_score,categoria_nps,comentario,canal_encuesta,tiempo_respuesta_dias,contacto_previo,resolucion_satisfactoria,recomendaria_servicio,region,edad_cliente,antiguedad_meses
NPS_000001,2025-08-19 12:12:36,CLI_41143,Empresarial,Premium,0,Detractor,"Servicio muy lento, muchas fallas",Email,6,True,True,False,Centro,49,81
NPS_000002,2025-08-25 12:12:36,CLI_43677,Telefonía Fija,VIP,6,Detractor,"Servicio muy lento, muchas fallas",Email,5,True,False,False,Oeste,53,10
NPS_000003,2025-07-14 12:12:36,CLI_21262,Móvil Prepago,VIP,3,Detractor,Precio muy alto para el servicio,App,6,True,False,False,Centro,37,115
NPS_000004,2025-08-19 12:12:36,CLI_18981,Empresarial,Regular,4,Detractor,"Servicio muy lento, muchas fallas",SMS,6,True,True,False,Sur,62,114
NPS_000005,2025-07-07 12:12:36,CLI_36093,Móvil Postpago,Premium,5,Detractor,Problemas técnicos constantes,Email,7,True,True,False,Norte,74,5
NPS_000006,2025-08-23 12:12:36,CLI_32547,Móvil Prepago,Regular,1,Detractor,"Servicio muy lento, muchas fallas",Email,0,False,True,False,Sur,48,38
NPS_000007,2025-06-25 12:12:36,CLI_45782,TV Cable,Premium,3,Detractor,Problemas técnicos constantes,App,0,False,True,False,Centro,54,4
NPS_000008,2025-07-24 12:12:36,CLI_10903,Empresarial,VIP,1,Detractor,Atención al cliente deficiente,Web,0,True,False,False,Centro,34,78
NPS_000009,2025-08-03 12:12:36,CLI_07424,TV Cable,VIP,8,Neutral,Funciona pero tiene algunos problemas,Email,6,False,False,True,Este,74,101
NPS_000010,2025-08-13 12:12:36,CLI_20010,Internet Hogar,VIP,10,Promotor,"Excelente servicio, muy satisfecho",App,1,True,True,True,Norte,55,100
NPS_000011,2025-07-16 12:12:36,CLI_48844,TV Cable,Premium,7,Neutral,"Servicio regular, podría mejorar",Email,4,False,False,True,Este,36,34
NPS_000012,2025-08-31 12:12:36,CLI_27216,Móvil Prepago,Regular,5,Detractor,"Servicio muy lento, muchas fallas",App,5,True,True,False,Sur,69,28
NPS_000013,2025-07-17 12:12:36,CLI_35056,Móvil Prepago,Premium,3,Detractor,Precio muy alto para el servicio,App,6,True,True,False,Norte,22,39
NPS_000014,2025-09-04 12:12:36,CLI_03797,Móvil Prepago,Premium,5,Detractor,Atención al cliente deficiente,SMS,7,False,True,False,Norte,32,100
NPS_000015,2025-08-03 12:12:36,CLI_44901,TV Cable,Regular,8,Neutral,Funciona pero tiene algunos problemas,App,1,False,False,True,Centro,69,9
NPS_000016,2025-08-03 12:12:36,CLI_49188,Móvil Postpago,VIP,2,Detractor,Problemas técnicos constantes,SMS,6,True,False,False,Oeste,70,84
NPS_000017,2025-06-22 12:12:36,CLI_13337,Móvil Prepago,Básico,8,Neutral,"Servicio regular, podría mejorar",Web,0,True,False,True,Centro,56,36
NPS_000018,2025-06-20 12:12:36,CLI_35604,Empresarial,Premium,7,Neutral,"Precio aceptable, servicio promedio",App,1,False,False,True,Este,65,45
NPS_000019,2025-08-05 12:12:36,CLI_01373,Móvil Postpago,Regular,4,Detractor,Atención al cliente deficiente,Web,3,True,False,False,Este,55,65
NPS_000020,2025-09-06 12:12:36,CLI_43155,Internet Hogar,VIP,9,Promotor,Personal muy profesional,App,5,False,True,True,Sur,31,98
NPS_000021,2025-07-26 12:12:36,CLI_31677,Móvil Postpago,Regular,9,Promotor,"Excelente servicio, muy satisfecho",Web,5,True,True,True,Este,47,86
NPS_000022,2025-08-30 12:12:36,CLI_17316,Móvil Postpago,Básico,6,Detractor,Precio muy alto para el servicio,SMS,7,True,False,False,Oeste,52,3
NPS_000023,2025-09-15 12:12:36,CLI_42255,Móvil Postpago,Premium,7,Neutral,"Precio aceptable, servicio promedio",Web,6,True,False,True,Sur,24,83
NPS_000024,2025-09-08 12:12:36,CLI_34238,Móvil Prepago,Premium,6,Detractor,"Servicio muy lento, muchas fallas",App,1,False,False,False,Norte,56,3
NPS_000025,2025-08-18 12:12:36,CLI_45701,TV Cable,Premium,1,Detractor,Precio muy alto para el servicio,Email,6,True,True,False,Oeste,43,77
NPS_000026,2025-06-19 12:12:36,CLI_35237,TV Cable,Básico,5,Detractor,Atención al cliente deficiente,Web,7,False,False,False,Centro,72,34
NPS_000027,2025-07-08 12:12:36,CLI_32278,TV Cable,Premium,7,Neutral,"Precio aceptable, servicio promedio",Email,7,False,True,True,Oeste,27,24
NPS_000028,2025-07-31 12:12:36,CLI_05719,Móvil Prepago,Premium,8,Neutral,"Servicio regular, podría mejorar",SMS,0,True,True,True,Norte,67,106
NPS_000029,2025-09-05 12:12:36,CLI_08622,Telefonía Fija,Premium,8,Neutral,Funciona pero tiene algunos problemas,Web,1,True,True,True,Sur,41,27
NPS_000030,2025-08-15 12:12:36,CLI_36434,Internet Móvil,Regular,1,Detractor,Atención al cliente deficiente,Web,2,False,False,False,Oeste,42,19
NPS_000031,2025-07-13 12:12:36,CLI_35745,Móvil Prepago,VIP,5,Detractor,Atención al cliente deficiente,App,7,True,True,False,Este,64,109
NPS_000032,2025-07-26 12:12:36,CLI_17195,TV Cable,Premium,2,Detractor,Problemas técnicos constantes,Web,3,False,False,False,Oeste,22,79
NPS_000033,2025-07-17 12:12:36,CLI_48323,Móvil Postpago,Básico,7,Neutral,"Servicio regular, podría mejorar",Web,7,True,False,True,Norte,26,44
NPS_000034,2025-08-31 12:12:36,CLI_29385,Telefonía Fija,Regular,3,Detractor,Precio muy alto para el servicio,App,1,True,True,False,Centro,32,11
NPS_000035,2025-07-22 12:12:36,CLI_22654,Telefonía Fija,Premium,7,Neutral,"Precio aceptable, servicio promedio",Email,5,True,True,True,Sur,42,87
NPS_000036,2025-08-31 12:12:36,CLI_04499,Empresarial,Básico,6,Detractor,"Servicio muy lento, muchas fallas",Email,0,True,False,False,Este,18,58
NPS_000037,2025-07-24 12:12:36,CLI_13950,Móvil Prepago,Regular,10,Promotor,"Excelente servicio, muy satisfecho",App,7,True,True,True,Sur,67,3
NPS_000038,2025-07-13 12:12:36,CLI_23272,Móvil Prepago,Básico,6,Detractor,Precio muy alto para el servicio,Email,6,True,True,False,Sur,46,40
NPS_000039,2025-08-01 12:12:36,CLI_35290,Telefonía Fija,Regular,8,Neutral,"Precio aceptable, servicio promedio",App,7,False,True,True,Norte,29,106
NPS_000040,2025-06-18 12:12:36,CLI_24645,Telefonía Fija,Premium,5,Detractor,"Servicio muy lento, muchas fallas",Web,2,False,True,False,Sur,26,77
NPS_000041,2025-08-16 12:12:36,CLI_03272,Internet Móvil,Regular,8,Neutral,"Precio aceptable, servicio promedio",SMS,1,False,False,True,Centro,67,107
NPS_000042,2025-08-14 12:12:36,CLI_40579,Internet Hogar,VIP,0,Detractor,"Servicio muy lento, muchas fallas",Web,3,True,False,False,Centro,33,103
NPS_000043,2025-09-11 12:12:36,CLI_06269,Móvil Prepago,Básico,4,Detractor,Problemas técnicos constantes,Web,1,True,True,False,Sur,23,100
NPS_000044,2025-06-21 12:12:36,CLI_02341,Telefonía Fija,Básico,10,Promotor,Atención rápida y efectiva,App,0,False,False,True,Norte,42,36
NPS_000045,2025-08-19 12:12:36,CLI_22974,Internet Móvil,Regular,3,Detractor,"Servicio muy lento, muchas fallas",App,7,True,True,False,Sur,40,105
NPS_000046,2025-08-23 12:12:36,CLI_45225,Internet Hogar,Básico,5,Detractor,Precio muy alto para el servicio,SMS,3,False,False,False,Este,66,29
NPS_000047,2025-09-13 12:12:36,CLI_11157,Telefonía Fija,VIP,10,Promotor,Atención rápida y efectiva,Web,6,False,True,True,Este,52,45
NPS_000048,2025-07-11 12:12:36,CLI_48247,Internet Móvil,Premium,3,Detractor,Precio muy alto para el servicio,Email,2,False,False,False,Norte,57,31
NPS_000049,2025-08-12 12:12:36,CLI_41104,Internet Hogar,VIP,4,Detractor,Problemas técnicos constantes,SMS,0,True,True,False,Centro,51,49
NPS_000050,2025-07-10 12:12:36,CLI_38409,Móvil Postpago,Regular,3,Detractor,Problemas técnicos constantes,App,6,True,True,False,Oeste,28,10
NPS_000051,2025-08-18 12:12:36,CLI_39371,TV Cable,Regular,10,Promotor,Atención rápida y efectiva,App,2,False,True,True,Centro,53,86
NPS_000052,2025-06-27 12:12:36,CLI_27679,Internet Móvil,VIP,5,Detractor,Problemas técnicos constantes,App,0,False,True,False,Oeste,21,20
NPS_000053,2025-06-29 12:12:36,CLI_29776,Empresarial,VIP,0,Detractor,"Servicio muy lento, muchas fallas",Email,7,False,True,False,Sur,37,70
NPS_000054,2025-08-25 12:12:36,CLI_22756,TV Cable,Básico,3,Detractor,"Servicio muy lento, muchas fallas",Web,7,True,False,False,Este,40,105
NPS_000055,2025-07-09 12:12:36,CLI_19906,Telefonía Fija,Regular,3,Detractor,Atención al cliente deficiente,App,0,False,True,False,Centro,35,46
NPS_000056,2025-07-13 12:12:36,CLI_14997,Empresarial,Regular,10,Promotor,Personal muy profesional,Web,2,False,False,True,Centro,20,89
NPS_000057,2025-08-10 12:12:36,CLI_35280,Móvil Prepago,Premium,3,Detractor,Atención al cliente deficiente,Web,6,True,True,False,Norte,19,68
NPS_000058,2025-07-04 12:12:36,CLI_46489,TV Cable,Básico,1,Detractor,Problemas técnicos constantes,SMS,2,True,False,False,Norte,21,39
NPS_000059,2025-08-17 12:12:36,CLI_03061,Internet Hogar,Regular,3,Detractor,Atención al cliente deficiente,Email,4,False,True,False,Sur,34,40
NPS_000060,2025-07-29 12:12:36,CLI_22588,Telefonía Fija,VIP,5,Detractor,"Servicio muy lento, muchas fallas",Email,3,False,False,False,Norte,38,119
NPS_000061,2025-09-01 12:12:36,CLI_11090,Empresarial,Básico,2,Detractor,Atención al cliente deficiente,SMS,7,True,True,False,Centro,37,32
NPS_000062,2025-06-27 12:12:36,CLI_30760,Móvil Postpago,Premium,0,Detractor,Precio muy alto para el servicio,Web,2,True,False,False,Centro,39,113
NPS_000063,2025-06-19 12:12:36,CLI_37059,Móvil Prepago,Básico,10,Promotor,Buena relación calidad-precio,App,7,False,True,True,Este,74,117
NPS_000064,2025-08-02 12:12:36,CLI_24710,Móvil Prepago,Regular,0,Detractor,Atención al cliente deficiente,Email,1,True,True,False,Centro,21,17
NPS_000065,2025-08-02 12:12:36,CLI_02710,Internet Hogar,Básico,7,Neutral,"Servicio regular, podría mejorar",Email,0,True,False,True,Oeste,26,11
NPS_000066,2025-09-04 12:12:36,CLI_03043,Móvil Postpago,Regular,5,Detractor,"Servicio muy lento, muchas fallas",Web,5,True,True,False,Este,49,87
NPS_000067,2025-08-03 12:12:36,CLI_36014,Móvil Postpago,Regular,5,Detractor,"Servicio muy lento, muchas fallas",Email,7,True,False,False,Oeste,53,79
NPS_000068,2025-09-10 12:12:36,CLI_22946,Telefonía Fija,Premium,8,Neutral,Funciona pero tiene algunos problemas,Email,6,True,False,True,Oeste,35,71
NPS_000069,2025-09-07 12:12:36,CLI_08875,Móvil Postpago,Básico,4,Detractor,Atención al cliente deficiente,Email,5,True,True,False,Centro,73,33
NPS_000070,2025-07-27 12:12:36,CLI_49036,Internet Hogar,Premium,8,Neutral,"Precio aceptable, servicio promedio",Web,1,False,True,True,Norte,23,100
NPS_000071,2025-07-02 12:12:36,CLI_49135,Móvil Postpago,Premium,7,Neutral,Funciona pero tiene algunos problemas,Web,4,False,False,True,Centro,46,42
NPS_000072,2025-06-21 12:12:36,CLI_40358,Internet Móvil,Regular,5,Detractor,"Servicio muy lento, muchas fallas",Email,7,True,True,False,Norte,46,59
NPS_000073,2025-07-24 12:12:36,CLI_08473,Telefonía Fija,Premium,3,Detractor,Precio muy alto para el servicio,Email,5,True,True,False,Norte,64,111
NPS_000074,2025-07-22 12:12:36,CLI_36109,Móvil Prepago,VIP,7,Neutral,"Servicio regular, podría mejorar",SMS,4,True,False,True,Sur,32,1
NPS_000075,2025-07-29 12:12:36,CLI_23867,TV Cable,Básico,2,Detractor,Precio muy alto para el servicio,Email,3,False,True,False,Este,45,120
NPS_000076,2025-08-05 12:12:36,CLI_08780,Empresarial,Básico,3,Detractor,Atención al cliente deficiente,SMS,1,False,True,False,Sur,75,119
NPS_000077,2025-08-05 12:12:36,CLI_33185,Internet Móvil,Regular,1,Detractor,Problemas técnicos constantes,App,7,True,False,False,Norte,21,108
NPS_000078,2025-06-25 12:12:36,CLI_13586,Telefonía Fija,VIP,10,Promotor,Buena relación calidad-precio,App,4,False,False,True,Este,61,115
NPS_000079,2025-07-21 12:12:36,CLI_05635,Empresarial,Básico,9,Promotor,"Excelente servicio, muy satisfecho",Email,1,False,False,True,Norte,26,33
NPS_000080,2025-07-09 12:12:36,CLI_44280,Móvil Postpago,Regular,2,Detractor,Precio muy alto para el servicio,App,2,True,True,False,Norte,52,47
NPS_000081,2025-07-08 12:12:36,CLI_06657,Internet Hogar,Premium,0,Detractor,Precio muy alto para el servicio,Email,0,True,True,False,Oeste,55,84
NPS_000082,2025-08-22 12:12:36,CLI_07083,Internet Hogar,Básico,4,Detractor,"Servicio muy lento, muchas fallas",Web,2,False,False,False,Este,43,61
NPS_000083,2025-07-28 12:12:36,CLI_31810,Empresarial,Regular,3,Detractor,Atención al cliente deficiente,SMS,2,True,False,False,Norte,28,79
NPS_000084,2025-07-27 12:12:36,CLI_11182,Internet Hogar,VIP,7,Neutral,Funciona pero tiene algunos problemas,SMS,6,False,True,True,Este,56,81
NPS_000085,2025-08-03 12:12:36,CLI_00108,TV Cable,Premium,10,Promotor,"Excelente servicio, muy satisfecho",App,4,True,True,True,Este,30,87
NPS_000086,2025-08-06 12:12:36,CLI_42440,Móvil Prepago,Regular,1,Detractor,Problemas técnicos constantes,App,3,True,True,False,Norte,73,115
NPS_000087,2025-08-26 12:12:36,CLI_42866,Empresarial,Regular,5,Detractor,"Servicio muy lento, muchas fallas",SMS,1,True,False,False,Oeste,50,83
NPS_000088,2025-07-31 12:12:36,CLI_37587,TV Cable,VIP,6,Detractor,Problemas técnicos constantes,Web,4,True,True,False,Norte,37,19
NPS_000089,2025-08-29 12:12:36,CLI_41933,Empresarial,Básico,5,Detractor,Problemas técnicos constantes,Web,0,False,True,False,Centro,22,104
NPS_000090,2025-09-13 12:12:36,CLI_34188,Móvil Prepago,Básico,0,Detractor,Problemas técnicos constantes,Web,2,True,False,False,Oeste,67,27
NPS_000091,2025-06-19 12:12:36,CLI_49409,Internet Móvil,Premium,9,Promotor,Personal muy profesional,App,6,False,False,True,Oeste,54,26
NPS_000092,2025-06-22 12:12:36,CLI_37105,Móvil Prepago,Regular,0,Detractor,"Servicio muy lento, muchas fallas",App,1,True,True,False,Centro,49,80
NPS_000093,2025-08-10 12:12:36,CLI_35382,Móvil Postpago,Básico,1,Detractor,Problemas técnicos constantes,Web,4,False,False,False,Centro,55,89
NPS_000094,2025-06-24 12:12:36,CLI_34127,Telefonía Fija,Regular,4,Detractor,"Servicio muy lento, muchas fallas",App,6,True,False,False,Oeste,58,5
NPS_000095,2025-07-29 12:12:36,CLI_03726,Móvil Prepago,Básico,5,Detractor,"Servicio muy lento, muchas fallas",Web,3,True,False,False,Oeste,58,84
NPS_000096,2025-08-10 12:12:36,CLI_33018,Móvil Postpago,VIP,7,Neutral,"Servicio regular, podría mejorar",App,3,False,False,True,Oeste,54,85
NPS_000097,2025-06-20 12:12:36,CLI_02822,Internet Móvil,Básico,6,Detractor,"Servicio muy lento, muchas fallas",Email,0,False,False,False,Este,48,37
NPS_000098,2025-08-11 12:12:36,CLI_20393,Internet Hogar,Básico,4,Detractor,Problemas técnicos constantes,Email,6,False,True,False,Oeste,30,7
NPS_000099,2025-07-19 12:12:36,CLI_45628,TV Cable,Premium,7,Neutral,Funciona pero tiene algunos problemas,Email,3,False,False,True,Este,73,81
NPS_000100,2025-08-26 12:12:36,CLI_05768,Internet Móvil,Regular,4,Detractor,Atención al cliente deficiente,App,5,False,False,False,Norte,69,79
NPS_000101,2025-07-22 12:12:36,CLI_41042,Telefonía Fija,Regular,1,Detractor,Atención al cliente deficiente,App,4,True,False,False,Centro,37,46
NPS_000102,2025-07-31 12:12:36,CLI_05142,Internet Hogar,Básico,9,Promotor,"Excelente servicio, muy satisfecho",SMS,1,True,True,True,Sur,45,25
NPS_000103,2025-07-13 12:12:36,CLI_20004,Móvil Prepago,Premium,2,Detractor,Atención al cliente deficiente,Email,6,True,True,False,Sur,72,15
NPS_000104,2025-07-09 12:12:36,CLI_10601,Telefonía Fija,Premium,7,Neutral,"Precio aceptable, servicio promedio",SMS,2,False,True,True,Centro,75,86
NPS_000105,2025-08-03 12:12:36,CLI_12073,TV Cable,Básico,0,Detractor,"Servicio muy lento, muchas fallas",Web,2,True,False,False,Sur,62,35
NPS_000106,2025-08-26 12:12:36,CLI_40902,Móvil Postpago,Premium,4,Detractor,Atención al cliente deficiente,Email,2,True,True,False,Oeste,44,101
NPS_000107,2025-06-24 12:12:36,CLI_24210,Internet Hogar,Básico,6,Detractor,Precio muy alto para el servicio,App,6,False,False,False,Este,73,71
NPS_000108,2025-06-30 12:12:36,CLI_19361,Telefonía Fija,Premium,0,Detractor,"Servicio muy lento, muchas fallas",App,5,True,True,False,Oeste,61,10
NPS_000109,2025-08-29 12:12:36,CLI_04224,Móvil Postpago,Premium,3,Detractor,"Servicio muy lento, muchas fallas",Web,3,False,False,False,Norte,30,14
NPS_000110,2025-08-26 12:12:36,CLI_47322,Telefonía Fija,Regular,4,Detractor,"Servicio muy lento, muchas fallas",Email,4,False,True,False,Este,64,103
NPS_000111,2025-08-22 12:12:36,CLI_12387,Móvil Prepago,Premium,6,Detractor,"Servicio muy lento, muchas fallas",App,4,True,True,False,Este,37,16
NPS_000112,2025-07-01 12:12:36,CLI_26004,Empresarial,Básico,5,Detractor,"Servicio muy lento, muchas fallas",SMS,0,True,False,False,Centro,42,36
NPS_000113,2025-08-13 12:12:36,CLI_39578,Internet Hogar,Básico,9,Promotor,Buena relación calidad-precio,SMS,3,False,False,True,Oeste,21,104
NPS_000114,2025-07-12 12:12:36,CLI_31912,Internet Hogar,Básico,6,Detractor,Precio muy alto para el servicio,SMS,4,False,False,False,Este,23,70
NPS_000115,2025-06-28 12:12:36,CLI_25797,Internet Hogar,Básico,0,Detractor,Problemas técnicos constantes,Web,1,True,True,False,Sur,34,100
NPS_000116,2025-07-11 12:12:36,CLI_32550,Móvil Postpago,VIP,9,Promotor,Buena relación calidad-precio,App,0,True,False,True,Este,38,44
NPS_000117,2025-07-23 12:12:36,CLI_31678,TV Cable,Regular,1,Detractor,Problemas técnicos constantes,Web,7,False,True,False,Norte,70,60
NPS_000118,2025-06-24 12:12:36,CLI_05569,Telefonía Fija,Regular,10,Promotor,Atención rápida y efectiva,Web,2,False,False,True,Este,64,16
NPS_000119,2025-06-29 12:12:36,CLI_46167,Internet Hogar,Regular,4,Detractor,Atención al cliente deficiente,SMS,3,True,True,False,Norte,24,102
NPS_000120,2025-07-13 12:12:36,CLI_34170,Telefonía Fija,Básico,5,Detractor,"Servicio muy lento, muchas fallas",SMS,5,True,True,False,Este,19,56
NPS_000121,2025-07-07 12:12:36,CLI_10329,Internet Hogar,VIP,1,Detractor,Precio muy alto para el servicio,SMS,0,True,True,False,Este,34,7
NPS_000122,2025-08-11 12:12:36,CLI_19732,Móvil Prepago,Regular,3,Detractor,Problemas técnicos constantes,App,7,False,True,False,Oeste,39,65
NPS_000123,2025-06-25 12:12:36,CLI_15139,Internet Hogar,Regular,6,Detractor,"Servicio muy lento, muchas fallas",SMS,1,False,True,False,Oeste,23,37
NPS_000124,2025-06-23 12:12:36,CLI_32985,Empresarial,Regular,7,Neutral,"Precio aceptable, servicio promedio",Email,3,True,False,True,Este,19,70
NPS_000125,2025-07-08 12:12:36,CLI_49466,Empresarial,Premium,4,Detractor,Precio muy alto para el servicio,App,3,False,False,False,Sur,52,97
NPS_000126,2025-09-12 12:12:36,CLI_47369,Móvil Postpago,Regular,5,Detractor,"Servicio muy lento, muchas fallas",Web,0,False,True,False,Sur,63,11
NPS_000127,2025-08-19 12:12:36,CLI_22989,Móvil Prepago,VIP,6,Detractor,Precio muy alto para el servicio,App,7,False,True,False,Este,74,117
NPS_000128,2025-06-22 12:12:36,CLI_28290,Empresarial,Básico,0,Detractor,Problemas técnicos constantes,Web,6,False,False,False,Centro,63,43
NPS_000129,2025-07-23 12:12:36,CLI_38195,Internet Hogar,Premium,3,Detractor,Problemas técnicos constantes,Email,3,False,True,False,Sur,34,67
NPS_000130,2025-06-23 12:12:36,CLI_21796,Internet Hogar,VIP,1,Detractor,Precio muy alto para el servicio,Web,1,False,False,False,Centro,49,5
NPS_000131,2025-06-19 12:12:36,CLI_21902,Móvil Prepago,Regular,1,Detractor,Problemas técnicos constantes,Email,5,True,False,False,Norte,19,47
NPS_000132,2025-07-20 12:12:36,CLI_31370,Móvil Postpago,Regular,8,Neutral,"Servicio regular, podría mejorar",SMS,6,True,True,True,Centro,40,13
NPS_000133,2025-07-09 12:12:36,CLI_10311,Móvil Postpago,Regular,1,Detractor,"Servicio muy lento, muchas fallas",SMS,6,True,False,False,Sur,74,26
NPS_000134,2025-07-21 12:12:36,CLI_43011,Móvil Postpago,Premium,0,Detractor,Atención al cliente deficiente,App,7,False,False,False,Sur,38,60
NPS_000135,2025-09-15 12:12:36,CLI_23851,Internet Móvil,VIP,2,Detractor,"Servicio muy lento, muchas fallas",Email,7,False,False,False,Centro,47,48
NPS_000136,2025-09-03 12:12:36,CLI_36698,TV Cable,Premium,8,Neutral,"Servicio regular, podría mejorar",App,7,False,False,True,Centro,75,74
NPS_000137,2025-08-15 12:12:36,CLI_09027,Empresarial,Básico,3,Detractor,Atención al cliente deficiente,Web,0,False,False,False,Centro,30,111
NPS_000138,2025-07-08 12:12:36,CLI_44164,Internet Móvil,Regular,4,Detractor,"Servicio muy lento, muchas fallas",Web,1,True,True,False,Sur,20,119
NPS_000139,2025-09-05 12:12:36,CLI_29878,TV Cable,Premium,3,Detractor,"Servicio muy lento, muchas fallas",Web,2,False,True,False,Oeste,35,12
NPS_000140,2025-09-08 12:12:36,CLI_41647,Internet Móvil,Regular,4,Detractor,Precio muy alto para el servicio,SMS,0,False,True,False,Este,71,90
NPS_000141,2025-06-28 12:12:36,CLI_21873,Móvil Prepago,Premium,10,Promotor,Atención rápida y efectiva,SMS,2,False,False,True,Oeste,72,120
NPS_000142,2025-08-26 12:12:36,CLI_08665,Telefonía Fija,Regular,5,Detractor,Atención al cliente deficiente,Email,6,False,False,False,Norte,33,40
NPS_000143,2025-09-06 12:12:36,CLI_36693,Empresarial,Premium,8,Neutral,Funciona pero tiene algunos problemas,Email,2,True,False,True,Centro,26,107
NPS_000144,2025-06-28 12:12:36,CLI_14178,Móvil Postpago,Básico,3,Detractor,Precio muy alto para el servicio,Email,2,False,False,False,Este,67,31
NPS_000145,2025-08-13 12:12:36,CLI_39219,Empresarial,VIP,5,Detractor,Precio muy alto para el servicio,Web,5,False,False,False,Centro,42,11
NPS_000146,2025-08-31 12:12:36,CLI_40373,Móvil Postpago,Regular,0,Detractor,Atención al cliente deficiente,Web,4,True,True,False,Este,56,84
NPS_000147,2025-07-23 12:12:36,CLI_08553,Móvil Postpago,Básico,3,Detractor,Precio muy alto para el servicio,Web,1,True,False,False,Este,70,107
NPS_000148,2025-07-26 12:12:36,CLI_39644,TV Cable,VIP,0,Detractor,Precio muy alto para el servicio,App,6,True,False,False,Centro,38,22
NPS_000149,2025-07-24 12:12:36,CLI_12578,Internet Hogar,Básico,6,Detractor,Problemas técnicos constantes,Web,2,False,True,False,Centro,26,85
NPS_000150,2025-06-30 12:12:36,CLI_06948,Internet Móvil,Premium,2,Detractor,Precio muy alto para el servicio,Web,2,True,True,False,Sur,71,7
NPS_000151,2025-06-20 12:12:36,CLI_29580,Internet Hogar,Básico,9,Promotor,"Excelente servicio, muy satisfecho",Web,2,False,True,True,Sur,35,76
NPS_000152,2025-07-01 12:12:36,CLI_29818,Internet Móvil,Premium,5,Detractor,Problemas técnicos constantes,SMS,6,False,False,False,Norte,47,36
NPS_000153,2025-09-13 12:12:36,CLI_06595,Empresarial,VIP,10,Promotor,Buena relación calidad-precio,Web,1,True,True,True,Sur,65,34
NPS_000154,2025-09-10 12:12:36,CLI_02192,Internet Móvil,VIP,10,Promotor,Personal muy profesional,App,7,False,True,True,Oeste,25,110
NPS_000155,2025-07-03 12:12:36,CLI_06346,TV Cable,Básico,2,Detractor,Problemas técnicos constantes,SMS,2,True,True,False,Sur,47,31
NPS_000156,2025-06-25 12:12:36,CLI_49683,Internet Móvil,Básico,6,Detractor,Atención al cliente deficiente,Web,7,False,True,False,Oeste,48,83
NPS_000157,2025-06-26 12:12:36,CLI_28830,Telefonía Fija,VIP,5,Detractor,Problemas técnicos constantes,Email,7,False,True,False,Este,51,69
NPS_000158,2025-06-23 12:12:36,CLI_23629,Móvil Prepago,Regular,3,Detractor,"Servicio muy lento, muchas fallas",Web,4,False,False,False,Norte,69,105
NPS_000159,2025-06-21 12:12:36,CLI_08624,Internet Hogar,Regular,6,Detractor,Problemas técnicos constantes,App,5,True,False,False,Sur,72,6
NPS_000160,2025-07-08 12:12:36,CLI_47286,Telefonía Fija,Premium,9,Promotor,Buena relación calidad-precio,Web,6,False,True,True,Norte,45,75
NPS_000161,2025-06-22 12:12:36,CLI_35613,Internet Hogar,Premium,5,Detractor,Atención al cliente deficiente,App,1,True,False,False,Sur,70,60
NPS_000162,2025-06-23 12:12:36,CLI_06680,TV Cable,VIP,5,Detractor,Precio muy alto para el servicio,Web,3,False,True,False,Norte,25,4
NPS_000163,2025-07-02 12:12:36,CLI_46528,TV Cable,Regular,5,Detractor,Problemas técnicos constantes,App,4,False,True,False,Norte,31,118
NPS_000164,2025-08-16 12:12:36,CLI_00471,Empresarial,Básico,10,Promotor,Atención rápida y efectiva,SMS,6,False,True,True,Este,44,87
